word,freq,colour
toy,790,no
circuits,651,no
son,563,no
projects,490,no
gift,446,no
kids,446,no
snap,399,no
christmas,374,no
kit,353,no
educational,332,no
learning,307,yes
together,271,no
8,261,no
5,243,no
7,234,no
6,230,no
make,223,no
grandson,222,no
hours,212,no
daughter,208,no
play,208,no
circuit,206,no
different,201,no
playing,192,no
birthday,190,no
child,190,no
electricity,185,no
pieces,184,no
build,181,no
follow,177,no
highly,174,no
instructions,171,no
electronics,165,no
science,163,no
project,160,no
way,160,no
now,158,no
book,147,no
9,146,no
help,144,no
made,144,no
nephew,143,no
see,143,no
building,140,no
toys,129,no
parts,127,no
purchased,125,no
day,124,no
10,123,no
children,122,no
think,122,no
learn,121,no
kid,119,no
able,118,no
experiments,118,no
directions,114,no
hes,114,no
4,113,no
years,109,no
yr,109,no
still,106,no
100,104,no
making,104,no
dont,103,no
light,102,no
kits,101,no
2,99,no
3,99,no
boys,98,no
jr,98,no
present,97,no
age,96,no
played,96,no
hit,95,no
thought,94,no
started,92,no
im,91,no
next,91,no
know,90,no
simple,88,no
new,87,no
since,87,no
two,87,no
understand,84,no
working,84,no
cant,83,no
older,82,no
read,82,no
box,81,no
every,81,no
ever,80,no
without,80,no
young,80,no
fan,79,no
diagrams,78,no
easily,78,no
sets,77,no
go,76,no
interested,76,no
legos,74,no
basic,72,no
boy,72,no
game,72,no
going,72,no
thing,72,no
younger,71,no
ages,70,no
keep,69,no
already,68,no
definitely,68,no
absolutely,67,no
another,67,no
interest,67,no
received,67,no
purchase,66,no
spent,66,no
getting,65,no
makes,65,no
gave,64,no
learned,64,no
putting,64,no
wanted,64,no
always,63,no
teach,63,no
long,62,no
electrical,61,no
etc,61,no
looking,61,no
sure,61,no
bit,60,no
buying,60,no
sc,60,no
tool,60,no
days,59,no
school,59,no
several,59,no
add,58,no
hands,58,no
used,58,no
yet,58,no
adult,57,no
concepts,57,no
didnt,57,no
experiment,57,no
husband,57,no
opened,57,no
though,57,no
find,56,no
gets,56,no
quality,56,no
back,55,no
built,55,no
create,54,no
doesnt,54,no
last,54,no
quite,54,no
sons,54,no
video,54,no
big,53,no
almost,52,no
upgrade,52,no
us,52,no
around,51,no
dad,51,no
electronic,51,no
comes,50,no
components,50,no
family,50,no
games,50,no
manual,50,no
away,49,no
board,49,no
gifts,49,no
larger,49,no
following,48,no
quickly,47,no
say,47,no
take,47,no
teaches,47,no
using,47,no
basics,46,no
found,46,no
needed,46,no
part,46,no
plays,46,no
brother,45,no
far,45,no
wish,45,no
attention,44,no
batteries,44,no
booklet,44,no
friends,44,no
girls,44,no
lights,44,no
said,44,no
actually,43,no
explain,43,no
give,43,no
reviews,43,no
show,43,no
try,43,no
want,43,no
come,42,no
couple,42,no
creating,42,no
however,42,no
parents,42,no
took,42,no
busy,41,no
instruction,41,no
kept,41,no
activity,40,no
bigger,40,no
girl,40,no
idea,40,no
might,40,no
price,40,no
sit,40,no
wants,40,no
1,39,no
engineer,39,no
future,39,no
item,39,no
may,39,no
ones,39,no
six,39,no
sounds,39,no
switch,39,no
times,39,no
11,38,no
adults,38,no
asked,38,no
complete,38,no
never,38,no
probably,38,no
sister,38,no
ive,37,no
keeps,37,no
plastic,37,no
soon,37,no
trying,37,no
understanding,37,no
12,36,no
mom,36,no
needs,36,no
stop,36,no
electric,35,no
friend,35,no
look,35,no
olds,35,no
reading,35,no
seeing,35,no
seems,35,no
stuff,35,no
huge,34,no
lego,34,no
months,34,no
snaps,34,no
start,34,no
concept,33,no
five,33,no
says,33,no
wait,33,no
although,32,no
anyone,32,no
grandsons,32,no
motor,32,no
shes,32,no
sound,32,no
wasnt,32,no
anything,31,no
battery,31,no
engineering,31,no
level,31,no
mind,31,no
saw,31,no
teaching,31,no
tell,31,no
value,31,no
went,31,no
amazon,30,no
curious,30,no
father,30,no
grade,30,no
immediately,30,no
thinking,30,no
wont,30,no
came,29,no
house,29,no
later,29,no
money,29,no
must,29,no
number,29,no
piece,29,no
real,29,no
seven,29,no
step,29,no
activities,28,no
eight,28,no
figure,28,no
figured,28,no
granddaughter,28,no
home,28,no
hour,28,no
included,28,no
nephews,28,no
place,28,no
review,28,no
apart,27,no
diagram,27,no
instead,27,no
items,27,no
order,27,no
results,27,no
sat,27,no
small,27,no
company,26,no
connections,26,no
experience,26,no
minutes,26,no
stars,26,no
turn,26,no
weve,26,no
circuitry,25,no
completed,25,no
everyone,25,no
let,25,no
looks,25,no
minds,25,no
ordered,25,no
short,25,no
various,25,no
week,25,no
ago,24,no
air,24,no
along,24,no
designs,24,no
inquisitive,24,no
niece,24,no
seem,24,no
showing,24,no
starter,24,no
20,23,no
300,23,no
blast,23,no
choice,23,no
designed,23,no
fascinated,23,no
products,23,no
similar,23,no
totally,23,no
wires,23,no
within,23,no
explanations,22,no
four,22,no
id,22,no
ideas,22,no
kind,22,no
music,22,no
others,22,no
plan,22,no
spend,22,no
supervision,22,no
told,22,no
assistance,21,no
design,21,no
end,21,no
especially,21,no
helps,21,no
presents,21,no
resistor,21,no
teacher,21,no
three,21,no
turned,21,no
30,20,no
behind,20,no
connect,20,no
course,20,no
given,20,no
guide,20,no
introduction,20,no
morning,20,no
open,20,no
parallel,20,no
picked,20,no
sent,20,no
takes,20,no
13,19,no
couldnt,19,no
else,19,no
flying,19,no
list,19,no
night,19,no
nine,19,no
packaging,19,no
pictures,19,no
power,19,no
purchasing,19,no
radio,19,no
students,19,no
bulb,18,no
combinations,18,no
completing,18,no
decided,18,no
explaining,18,no
fact,18,no
finished,18,no
fly,18,no
grandchildren,18,no
grid,18,no
high,18,no
hope,18,no
point,18,no
provides,18,no
seen,18,no
speaker,18,no
switches,18,no
taking,18,no
theyre,18,no
ways,18,no
weeks,18,no
alone,17,no
assemble,17,no
change,17,no
class,17,no
classroom,17,no
education,17,no
elenco,17,no
ill,17,no
involved,17,no
knew,17,no
maybe,17,no
parent,17,no
physics,17,no
second,17,no
showed,17,no
skills,17,no
thats,17,no
version,17,no
water,17,no
yes,17,no
aa,16,no
additional,16,no
allows,16,no
ask,16,no
based,16,no
began,16,no
beginning,16,no
budding,16,no
care,16,no
certain,16,no
check,16,no
childs,16,no
experimenting,16,no
explained,16,no
explanation,16,no
giving,16,no
introduce,16,no
isnt,16,no
laid,16,no
mother,16,no
move,16,no
opening,16,no
provide,16,no
questions,16,no
realize,16,no
room,16,no
tried,16,no
type,16,no
watching,16,no
xmas,16,no
asking,15,no
brought,15,no
challenge,15,no
cousin,15,no
created,15,no
explains,15,no
forward,15,no
gives,15,no
happen,15,no
knowledge,15,no
least,15,no
o,15,no
run,15,no
sometimes,15,no
spin,15,no
starting,15,no
table,15,no
types,15,no
watch,15,no
whole,15,no
wire,15,no
world,15,no
written,15,no
arrived,14,no
early,14,no
either,14,no
ended,14,no
entertained,14,no
expansion,14,no
gotten,14,no
grandpa,14,no
hed,14,no
held,14,no
independently,14,no
overall,14,no
require,14,no
side,14,no
simply,14,no
theres,14,no
thinks,14,no
uses,14,no
variations,14,no
youre,14,no
108,13,no
believe,13,no
computer,13,no
creations,13,no
creativity,13,no
goes,13,no
hooked,13,no
inventions,13,no
often,13,no
picture,13,no
rest,13,no
scientific,13,no
series,13,no
shown,13,no
shows,13,no
siren,13,no
someone,13,no
store,13,no
taught,13,no
understands,13,no
unique,13,no
y,13,no
101,12,no
5th,12,no
alternative,12,no
base,12,no
builds,12,no
color,12,no
component,12,no
continue,12,no
current,12,no
daddy,12,no
daughters,12,no
exactly,12,no
example,12,no
explore,12,no
extra,12,no
half,12,no
havent,12,no
labeled,12,no
life,12,no
looked,12,no
missing,12,no
party,12,no
past,12,no
plus,12,no
principles,12,no
provided,12,no
saucer,12,no
scientist,12,no
smaller,12,no
taken,12,no
turns,12,no
usually,12,no
yo,12,no
14,11,no
added,11,no
become,11,no
birthdays,11,no
case,11,no
completely,11,no
constructed,11,no
direction,11,no
energy,11,no
engineers,11,no
extremely,11,no
eyes,11,no
fit,11,no
flow,11,no
full,11,no
grow,11,no
initially,11,no
knows,11,no
law,11,no
less,11,no
occupied,11,no
organized,11,no
pack,11,no
planning,11,no
plenty,11,no
reason,11,no
santa,11,no
self,11,no
share,11,no
sort,11,no
stopped,11,no
straight,11,no
understood,11,no
upon,11,no
2nd,10,no
6th,10,no
750,10,no
7th,10,no
asks,10,no
curiosity,10,no
details,10,no
devices,10,no
entertainment,10,no
expected,10,no
figuring,10,no
fully,10,no
gadgets,10,no
grader,10,no
grandma,10,no
happens,10,no
hold,10,no
homeschool,10,no
honestly,10,no
including,10,no
information,10,no
inside,10,no
longer,10,no
manufacturer,10,no
month,10,no
opportunity,10,no
phone,10,no
process,10,no
replacement,10,no
resistors,10,no
service,10,no
starts,10,no
stay,10,no
suggested,10,no
system,10,no
terms,10,no
wanting,10,no
website,10,no
yrs,10,no
8th,9,no
aside,9,no
autistic,9,no
beginner,9,no
call,9,no
called,9,no
chance,9,no
configurations,9,no
consider,9,no
cost,9,no
cousins,9,no
customer,9,no
due,9,no
electrician,9,no
engaged,9,no
entire,9,no
expand,9,no
exploring,9,no
grandkids,9,no
hear,9,no
heard,9,no
homeschooling,9,no
kinds,9,no
large,9,no
leave,9,no
left,9,no
multiple,9,no
nothing,9,no
obsessed,9,no
ons,9,no
penny,9,no
person,9,no
pick,9,no
remember,9,no
running,9,no
seemed,9,no
sense,9,no
setting,9,no
shipping,9,no
sirens,9,no
thanks,9,no
truly,9,no
turning,9,no
whats,9,no
youll,9,no
15,8,no
9th,8,no
allow,8,no
aspect,8,no
awhile,8,no
became,8,no
brain,8,no
bunch,8,no
childrens,8,no
computers,8,no
construct,8,no
detail,8,no
doorbell,8,no
encourages,8,no
engage,8,no
expect,8,no
finally,8,no
followed,8,no
gone,8,no
grandfather,8,no
handle,8,no
hasnt,8,no
helicopter,8,no
intrigued,8,no
junior,8,no
layout,8,no
lesson,8,no
line,8,no
logic,8,no
match,8,no
math,8,no
mechanically,8,no
middle,8,no
minded,8,no
motors,8,no
name,8,no
near,8,no
non,8,no
note,8,no
oldest,8,no
online,8,no
options,8,no
ordering,8,no
pay,8,no
plans,8,no
previous,8,no
propeller,8,no
recently,8,no
regular,8,no
related,8,no
required,8,no
requires,8,no
ring,8,no
send,8,no
shack,8,no
sisters,8,no
sitting,8,no
snapping,8,no
sorts,8,no
spends,8,no
storage,8,no
student,8,no
summer,8,no
talk,8,no
tells,8,no
user,8,no
w,8,no
wouldnt,8,no
3rd,7,no
across,7,no
activated,7,no
adding,7,no
admit,7,no
afternoon,7,no
alarms,7,no
alot,7,no
appears,7,no
assembly,7,no
black,7,no
boards,7,no
bring,7,no
button,7,no
buttons,7,no
careful,7,no
chose,7,no
coming,7,no
complexity,7,no
considering,7,no
contacted,7,no
contains,7,no
currents,7,no
daily,7,no
durability,7,no
elementary,7,no
eliminator,7,no
evening,7,no
exact,7,no
felt,7,no
finish,7,no
fix,7,no
group,7,no
grows,7,no
head,7,no
hopefully,7,no
hoping,7,no
illustrated,7,no
imagination,7,no
imagine,7,no
inclined,7,no
increase,7,no
job,7,no
keeping,7,no
lessons,7,no
lightbulb,7,no
mastered,7,no
mechanical,7,no
metal,7,no
minor,7,no
moment,7,no
mommy,7,no
nearly,7,no
numbers,7,no
obviously,7,no
oh,7,no
outcome,7,no
range,7,no
rated,7,no
rating,7,no
receiving,7,no
schematics,7,no
scout,7,no
section,7,no
shell,7,no
single,7,no
size,7,no
somehow,7,no
specific,7,no
spending,7,no
spinning,7,no
star,7,no
suggest,7,no
talking,7,no
ten,7,no
theory,7,no
tons,7,no
upgrades,7,no
visual,7,no
whatever,7,no
1st,6,no
4th,6,no
accidentally,6,no
actual,6,no
advertised,6,no
aged,6,no
amount,6,no
arent,6,no
background,6,no
beginners,6,no
besides,6,no
blocks,6,no
books,6,no
caught,6,no
cause,6,no
certainly,6,no
challenged,6,no
changes,6,no
closed,6,no
colored,6,no
com,6,no
constantly,6,no
cub,6,no
described,6,no
discovered,6,no
dollars,6,no
dozen,6,no
english,6,no
expectations,6,no
face,6,no
feel,6,no
finding,6,no
flows,6,no
front,6,no
function,6,no
general,6,no
growing,6,no
grown,6,no
guess,6,no
hand,6,no
happening,6,no
harder,6,no
independent,6,no
instant,6,no
interactive,6,no
intro,6,no
inventing,6,no
investment,6,no
knowing,6,no
lab,6,no
lets,6,no
letters,6,no
literally,6,no
low,6,no
mail,6,no
mas,6,no
material,6,no
materials,6,no
mine,6,no
minimal,6,no
moving,6,no
ok,6,no
otherwise,6,no
package,6,no
page,6,no
people,6,no
possible,6,no
practical,6,no
precocious,6,no
priced,6,no
pulled,6,no
quick,6,no
rainy,6,no
sell,6,no
serial,6,no
slightly,6,no
snapped,6,no
solving,6,no
somewhat,6,no
spot,6,no
subject,6,no
surprise,6,no
technical,6,no
technically,6,no
test,6,no
today,6,no
tools,6,no
troubleshoot,6,no
tv,6,no
uncle,6,no
unless,6,no
ups,6,no
visit,6,no
wife,6,no
words,6,no
wrote,6,no
x,6,no
50,5,no
7yr,5,no
ability,5,no
action,5,no
addition,5,no
adhd,5,no
arrangements,5,no
aunt,5,no
basically,5,no
bday,5,no
bed,5,no
begin,5,no
bells,5,no
bottom,5,no
childhood,5,no
choose,5,no
circle,5,no
circut,5,no
close,5,no
closet,5,no
colors,5,no
combine,5,no
comprehend,5,no
connection,5,no
connectors,5,no
construction,5,no
continues,5,no
dads,5,no
dealing,5,no
definately,5,no
demonstrate,5,no
description,5,no
difference,5,no
diode,5,no
endless,5,no
ensure,5,no
eventually,5,no
examples,5,no
except,5,no
expanding,5,no
exploration,5,no
features,5,no
feels,5,no
fingers,5,no
form,5,no
functioning,5,no
generally,5,no
grandparents,5,no
graph,5,no
grew,5,no
gun,5,no
higher,5,no
holds,5,no
holiday,5,no
holidays,5,no
hook,5,no
include,5,no
intended,5,no
introduced,5,no
involve,5,no
jumper,5,no
kitchen,5,no
knex,5,no
late,5,no
learner,5,no
learns,5,no
levels,5,no
local,5,no
lol,5,no
manner,5,no
map,5,no
meant,5,no
model,5,no
moved,5,no
naturally,5,no
